Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
108	04.02.2020 12:10	11321030416	234901686	04.02.2020 11:32	Complete	Complete	Lindås	General	Male	Leknes	Peripheral	My whole life	Less than once a month	Less than once a month	Some other place in Norway	Some other place in Norway	Blandling av Kristiansand og Hordaland	Blanding av Molde og Hordaland	Vocational training	Vocational training and other	Big mixed dialect (mum from Kristiansand and dad from Molde)	Eg har en stor blandingsdialekt, fordi mamma er fra Kristiansand og pappa er fra Molde. Begge søsknene mine har budd nokon år i Oslo og nå bor vi i Lindås	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not at all important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Very important	Little or never	Little or never	Practially all the time	A bit every day	A couple of times per week	Yes	Litt utanfor Bergen	Uidentifisert	Blir ikkje fornærma eller irritert. Vil berre fikse opp feiltakelsen. 	4	4	3	2	5	1	3	4	1	4	3	4	3		3	2	3		
109	04.02.2020 11:42	10772121186	216331141	03.06.2019 09:48	Complete	Complete	Lindås	General	Female	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	stril	stril	General studies	General studies	Stril	stril	Nynorsk Norwegian	nynorsk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Very important	Not that important	Very important	Not that important	Not at all important	Very important	Not that important	Little or never	A lot every day	Little or never	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	2	4	4	1	5	4	1	4	1	4	1	3	3		5	1	4	2	2
110	04.02.2020 11:45	11321176574	234901686	04.02.2020 12:45	Complete	Complete	Lindås	General	Do not want to answer	Hjelmås	Peripheral	My whole life	A couple of times a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	TAF	Vocational training and other	Stril	Stril	Stril	Stril	væra	væra	sola	sola	Mix, jento og jenta	Vekslar, jento og jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not at all important	Somewhat important	Somewhat important	Not that important	Somewhat important	Somewhat important	A couple of times per week	A bit every day	A couple of times per week	A bit every day	A bit every day	About the same	Hjelmås, like utanfor Bergen	Humørbygding	Ja, veldig	3	4	2	1	4	1	1	5	1	3	2	2	1	3	3	1	3	1	2
112	04.02.2020 11:43	10772120553	216331141	03.06.2019 09:46	Complete	Complete	Lindås	General	Female	Alversund	Central	Before school	A couple of times a month	A couple of times a month	Some other place in Norway	Local or neighboring municipality	sunnmørsdialekt	blanding av stril og bergensk	General studies	General studies	Stril mixed with Bergen	stril blandet med bergensk	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Very important	Very important	Very important	Very important	Not at all important	Very important	Not at all important	Little or never	A couple of times per week	A couple of times per week	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	3	4	5	1	4	5	2	4	1	4	1	4	3	4	5	1	2	2	4
116	04.02.2020 08:55	11321031200	234901686	04.02.2020 11:32	Complete	Complete	Lindås	General	Male	Heggertveit/Hopsdal	Peripheral	My whole life	Less than once a month	Less than once a month	In another country	Local or neighboring municipality	svorsk	Stril	Vocational training	Vocational training and other	Stril	stril	Stril	stril	væra	væra	solæ	solæ	jento	Jento	Mix, mainly vi	Vekslar, mest vi	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Very important	Somewhat important	Not that important	Somewhat important	Somewhat important	Not that important	A couple of times per week	A bit every day	A bit every day	Little or never	A lot every day	About the same	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	3	5	4	2	5	5	2	5	2	2	3	5	3	5	4	3		5	3
117	04.02.2020 08:56	10772127514	216331141	03.06.2019 09:53	Complete	Complete	Lindås	General	Male	Hjelmås	Peripheral	Before school	A couple of times a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	stril	stril	Vocational training	Vocational training and other	Stril	stril	Stril	stril			solæ	solæ	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Very important	Very important	Not that important	Very important	Not at all important	Not at all important	Little or never	A bit every day	A bit every day	Little or never	A bit every day	About the same	40 minutes north of Bergen	Stril	Ja, fordi eg vil ikkje bli sett på som ein byfis.	3	5	4	1	5	5	3	5	5	4	5	5	5	4	3	2	4	5	5
123	04.02.2020 08:47	11321174807	234901686	04.02.2020 12:44	Complete	Complete	Lindås	General	Female	Alversund	Central	My whole life	A couple of times a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	stril	stril	No plans yet	No plans yet	Stril, I think	stril tror eg	Don't know	veit ikkje	væra	væra	sola	sola	jenta	Jenta	Mmix	Vekslar	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Not that important	Somewhat important	Somewhat important	Not that important	Not that important	Somewhat important	Little or never	Little or never	Little or never	Little or never	Practially all the time	About the same	Knarvik, ein time frå Bergen	Veit ikkje	Nei, ikkje i det heile tatt				1	5			3			1		1	1	3			1	1
124	04.02.2020 08:51	10772126335	216331141	03.06.2019 09:52	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	Less than once a month	Less than once a month	Bergen	Local or neighboring municipality			Vocational training	Vocational training and other	Lindås dialect	Lindås-dialekt	Don't know	veit ikkje	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Not that important	Somewhat important	A bit every day	Little or never	A lot every day	Little or never	Little or never	About the same	Alversund, north of Bergen	Lindåsing	Nei, ikkje i det heile tatt	4	5	4		5	5	3	5	2	3	4	4	3		5			4	
129	04.02.2020 08:58	10772121918	216331141	03.06.2019 09:48	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	Less than once a month	A couple of times a month	Hordaland except Bergen	Hordaland except Bergen	litt stril og nynorsk	blanding av bokmål og nynorsk, og litt stril	General studies	General studies	Mix of Nynorsk and Bokmål Norwegian, mix of Stril and Bergen	blanding av nynorsk og bokmål,blanding av stril og bergensk	Stril	stril	Vekslar, mest være	Mix, mainly være	sola	sola	Mix, mainly jenta 	Vekslar, mest jenta 	vi	Vi	det	Det	Mix	I mix quite a lot in school. But on the phone, I write Bokmål Norwegian.	Nynorsk	Very important	Somewhat important	Not that important	Not at all important	Not at all important	Somewhat important	Somewhat important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	About the same	Bergen	Anten bergensar eller stril, det har ikkje noko å seie for meg.	Nei, ikkje i det heile tatt	4	5	2	2	5	5	2	4	1	2	5	5	1		3	4	4	4	2
132	04.02.2020 08:48	10772123559	216331141	03.06.2019 09:49	Complete	Complete	Lindås	General	Female	Knarvik	Central	5-10 years ago	A couple of times a month	A couple of times a month	Local or neighboring municipality	Some other place in Norway	Bergensk/stril	veit ikkje	General studies	General studies	Bergen	bergensk	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	I mix	Nynorsk	Not at all important	Somewhat important	Very important	Very important	Not at all important	Not that important	Not at all important	Little or never	A lot every day	Practially all the time	Little or never	A couple of times per week	Yes	Bergen	Bergensar	(Bergensar)	2	3	2	1	3	1	1	1	3	2	2	4	1	2	4	2	3	1	4
