Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
2	03.06.2019 10:22	11320738663	234901686	04.02.2020 08:38	Complete	Complete	Øygarden	Sample	Male	Rossnes	Central	My whole life	Less than once a month	A couple of times a month	Some other place in Norway	Some other place in Norway	Vetsje	Vetsje	Upper secondary school		I don't know, but some call it military dialect	Jeg vet ikke, men noen kaller det forsvarsdialekt.	I don't call it anything	Jeg kaller det ikke for noe	Være	være	solen	Solen	jenten, jenta	Jenten, jenta	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not at all important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Very important	A lot every day	Little or never	A lot every day	Little or never	Little or never	About the same	Øygarden	<Namn>	Nei, ikkje i det heile tatt		4		2	5	5	1	1		1	3		4	2	1				
5	03.06.2019 10:03	11320732254	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	Before school	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Bergensk	Stril/bergensk	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Very important	Very important	Not that important	Somewhat important	Not at all important	A couple of times per week	Practially all the time	Practially all the time	A bit every day	Practially all the time	No	Øygarden, like utanfor Bergen	Bergensar		4	5	2	1	5	1	1	1		2		1	1					4	2
7	03.06.2019 10:03	11321168386		04.02.2020 13:41	Complete	Complete	Øygarden	General	Female	Vikabrekka	Central	5-10 years ago	Less than once a month	A couple of times a month	Some other place in Norway	In another country	Sunnmørsdialekt	Etnolekt (Utenlands dialekt)	Vocational training	Vocational training and other	Sunnmøre dialect with something strange	Sunnmørs-dialekt blandet med noe rart	Stril	Stril	Vær	Vær-	solen	Solen	jenten	Jenten	Vi, me, øss and oss	Vi, me, øss og oss	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Little or never	Little or never	Practially all the time	Little or never	Little or never	No	Vestlandet	Sunnmøring, kanskje	Ikkje så veldig	3	1	5		1	1	1	3		5	1		1		3			1	
10	03.06.2019 10:02	11317942398	234901686	03.02.2020 10:09	Complete	Complete	Øygarden	General	Male	Oen	Peripheral	5-10 years ago	Less than once a month	About once a week	Local or neighboring municipality	Bergen			General studies	General studies	Mix	Blanding	Don't know	Vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Very important	Very important	Not that important	Not at all important	Somewhat important	Very important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	No	Sotra og Øygarden	Du	Nei, ikkje i det heile tatt				3	3	4			3		3		3			3		2	
12	03.06.2019 10:04	11318404502	234901686	03.02.2020 14:18	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month	Some other place in Norway	Local or neighboring municipality	Nordlandsk	Stril	General studies	General studies	Mix dialect	Blandingsdialekt	Stril	Stril	Være, vær	være, vær	sola	Sola	jenta	Jenta	vi	Vi	det	Det	Mix	I write Bokmål Norwegian in written assignments, otherwise mainly Nynorsk Norwegian	Bokmål	Not that important	Not that important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Somewhat important	A couple of times per week	A lot every day	Practially all the time	Little or never	Little or never	No	I nærleiken av Bergen	Vestlending	Ikkje så veldig	4	2	2		3	2		4	2	2	4	2	3	2	4			1	
13	03.06.2019 09:59	10772122509	216331141	03.06.2019 09:49	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	2-5 years ago	A couple of times a month	Less than once a month	Bergen	Bergen	Bokmål	Bokmål	General studies	General studies	Mix of Bergen and Stril	Blanding mellom stril og bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Very important	Somewhat important	Not at all important	Not at all important	Somewhat important	Not at all important	A bit every day	A lot every day	Little or never	Little or never	Practially all the time	No	Bergen	Bergensar		1	5	1		5	2	1	1		4	1		2		4			4	
23	03.06.2019 09:57	10767976175	216331141	31.05.2019 12:38	Complete	Complete	Øygarden	General	Female	Tjeldstø	Peripheral	My whole life	A couple of times a month	A couple of times a month	Bergen	In another country	Bergensk	utlandsk	Vocational training	Vocational training and other	Mix	Blanding	Nynorsk Norwegian	Nynorsk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not that important	Somewhat important	Not that important	Not that important	Not that important	Not that important	A couple of times per week	A couple of times per week	A bit every day	Little or never	A bit every day	About the same	Bergen	Samme for meg	Nei, ikkje i det heile tatt	3	2	4	2	3	2	1	3	2	2	3	2	3	4	3	2	3	2	2
28	03.06.2019 09:56	10772107993	216331141	03.06.2019 09:35	Complete	Complete	Øygarden	General	Female	Rong	Central	2-5 years ago	A couple of times a month	A couple of times a month	In another country	In another country	Kebabnorsk	Kebabnorsk	Sports	General studies	Mix dialect	Blandingsdialekt	Øygarden dialect	Øygards-dialekt	Være	være	sola	Sola	jenta	Jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Somewhat important	Not that important	Very important	Somewhat important	A lot every day	Practially all the time	A lot every day	Little or never	Practially all the time	No	Bergen	Bergensar			5	3	1	5	1	1	1	4	1	2	5	1	5	1	1	1	1	1
32	03.06.2019 09:57	11321018628	234901686	04.02.2020 11:25	Complete	Complete	Øygarden	General	Male			Before school	Less than once a month	A couple of times a month	Bergen	Local or neighboring municipality	Vetsj	Mhm	<Do not want to answer>		Mixed	Blanda	Stril?	Stril?	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	A bit every day	A bit every day	A bit every day	A bit every day	A bit every day	Yes	Øygarden	Mennesket	Nei, ikkje i det heile tatt	3	5	4	5	5	2	4	1	4	1	5	5	5						3
33	03.06.2019 09:50	11320732926	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Female	Toftøy	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Hordaland except Bergen	Stril	Stril	Sports	General studies	Somewhat whatered down Stril	Litt utvatna stril	Full out Stril	Kav stril	Væra	væra	sola	Sola			Mix	Vi, me (kjem an på kven eg snakkar med)	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Very important	Somewhat important	Very important	Not at all important	Not that important	Somewhat important	Not at all important	A couple of times per week	A couple of times per week	A couple of times per week	Little or never	A lot every day	No	Øygarden, like utanfor Bergen	Stril	Ja, veldig	4	5	4	5	5	5	5	5	4	5	3	4	5	5	5	3	5	5	5
35	03.06.2019 09:47	10772105159	216331141	03.06.2019 09:32	Complete	Complete	Øygarden	General	Female	Blomvåg	Central	2-5 years ago	A couple of times a month	A couple of times a month	Bergen	Bergen	Bergenser/ utvasket stril	Bergenser	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Not that important	Not that important	Somewhat important	Not at all important	A bit every day	Practially all the time	A lot every day	Little or never	A bit every day	No	Bergen	Bergensar		2	4	2	3	4	1	3	1	2	3	2	2	1	3	3	2	3	2	3
41	03.06.2019 09:46	11320732972	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Female	Torsteinsvik	Central	My whole life	About once a week	About once a week	Bergen	Local or neighboring municipality	Bergensk	Stril	No plans yet	No plans yet	Bergen	Bergensk	Old Stril	Gammel stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not that important	Somewhat important	Somewhat important	Not that important	Very important	Not at all important	Little or never	A lot every day	A lot every day	Little or never	Practially all the time	About the same	Øygarden, like utanfor Bergen	Bergensar		3	5	2	1	5	3	1	2	2	3	1	2	3	4		1		1	
44	03.06.2019 09:42	10772114074	216331141	03.06.2019 09:41	Complete	Complete	Øygarden	General	Female	Rong	Central	My whole life	Less than once a month	Less than once a month	In another country	Local or neighboring municipality	Sørlands dialekt	Bergensk	Learn language abroad		Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Very important	Not that important	Not at all important	Not that important	Very important	Practially all the time	A bit every day	Practially all the time	A bit every day	Practially all the time	No	Bergen	Bergensar		4	4	4	1	1	1	5	1	2	3	2	2	1	2	1	1	2	1	2
52	03.06.2019 09:43	11341361488	234901686	12.02.2020 18:11	Complete	Complete	Øygarden	General	Female	Blomvåg	Central	My whole life	A couple of times a month	A couple of times a month	Bergen	Bergen	Utvaska bergen	Utvaska bergen	Vocational training	Vocational training and other	Washed out Bergen	Utvaska bergenser	Washed out Bergen	Utvaska bergenser	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det 	Mix	I write a bit Bokmål and a bit Nynorsk Norwegian	Bokmål	Not that important	Very important	Very important	Very important	Somewhat important	Very important	Not that important	A lot every day	A bit every day	A bit every day	Little or never	A lot every day	About the same	Bergen	Bergensar		4	4		4	4	5	4	2	4	4	4	4	4			1		4	
68	14.09.2018 19:00	11320742356	234901686	04.02.2020 08:40	Complete	Complete	Øygarden	Sample	Male	Harkestad (Tjeldstø)	Peripheral	My whole life	Less than once a month	Less than once a month			Øygarden	Sogn og Fjordane 	No plans yet	No plans yet	Mix of Bergen and Stril	Blanding av bergenser og stril			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Very important	Not at all important	Somewhat important	Not that important	Not at all important	Not that important	Very important	Little or never	Little or never	Practially all the time	Little or never	Little or never		Øygarden	Bergensar		1	5	2	2	5	2	2	3	4	1	5	3	5		3	2			4
74	04.02.2020 12:57	11321165236	234901686	04.02.2020 12:39	Complete	Complete	Lindås	General	Male	Knarvik	Central	5-10 years ago	A couple of times a month	A couple of times a month	Local or neighboring municipality	Bergen			No plans yet	No plans yet	Norwegian	Norsk	Norwegian	Norsk	Vekslar, mest være	Mix, mainly være	Mix, mainly solen	Vekslar, mest solen			Mix, mainly vi	Vekslar, mest vi			Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Very important	Not that important	Not that important	Very important	Very important	A couple of times per week	A bit every day	A lot every day	Little or never	A lot every day	About the same	Lindås, like utanfor Bergen	Bergensar	(Bergensar)	3	1	4	3	1	4	3		1	4	1	3	2			1			
79	04.02.2020 12:54	11321169137	234901686	04.02.2020 12:42	Complete	Complete	Lindås	General	Female	Hilland	Central	My whole life	Less than once a month	Several times a week	Bergen	Local or neighboring municipality	Bergensk		General studies	General studies	Bergen	bergensk	Don't know	vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not that important	Somewhat important	Somewhat important	Not at all important	Very important	Not that important	Little or never	Practially all the time	Practially all the time	Little or never	Practially all the time	No	Lindås, like utanfor Bergen	Bergensar	(Bergensar)	4	3	4	1	5	4	1		1		1	3	3	2	3	2			
81	04.02.2020 12:57	10772123357	216331141	03.06.2019 09:49	Complete	Complete	Lindås	General	Female	Alversund	Central	My whole life	A couple of times a month	A couple of times a month	Some other place in Norway	Local or neighboring municipality	Blandingsdialekt	Stril	General studies	General studies	Bergen (not posh Bergen)	Bergensk (ikke pent)	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not at all important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A bit every day	A bit every day	A bit every day	Little or never	A lot every day	No	Bergen	Bergensar	(Bergensar)	4	5	4	2	5		2	3	1	4	1	2	3	2	4	1			2
82	04.02.2020 12:53	10772124908	216331141	03.06.2019 09:51	Complete	Complete	Lindås	General	Male	Knarvik	Central	Before school	Several times a week	A couple of times a month	Bergen	Bergen	Bergenser	Bergenser	General studies	General studies	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Somewhat important	Not that important	Somewhat important	Somewhat important	Somewhat important	A couple of times per week	A bit every day	A lot every day	Little or never	A lot every day	No	Bergen	Bergensar	(Bergensar)	2	5	2	4	4	5	3	1	1	2	1	4	1	3	3	2	2	1	3
84	04.02.2020 12:56	10772129197	216331141	03.06.2019 09:55	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Bergensdialekt	blanda mellom stril og bergensk	Vocational training	Vocational training and other	Bergen, just not posh language	bergensk bare ikke så fint i språket	Stril	Stril	Vekslar, mest være	Mix, mainly være	solen	Solen	jenten	Jenten	Mix, mainly vi	Vekslar, eg bruker vi når eg ikke snakker med farmor og farfar	Mix, mainly det	Vekslar, mest det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Very important	Somewhat important	Not at all important	Not that important	Somewhat important	Somewhat important	A couple of times per week	A bit every day	A lot every day	Little or never	A lot every day	About the same	Ein time utanfor Bergen	Bergensar	(Bergensar)	4	4	3	4	4	3	4	4	3	4	5	4	2	3	5	3	3	4	2
87	04.02.2020 12:56	10772128254	216331141	03.06.2019 09:54	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	Several times a week	Several times a week	Bergen	Bergen	Bergensk	Bergensk	TAF bygg	Vocational training and other	Stril Bergen	Strilabergensk	Baboon Norwegian	Bavian Norsk	Vekslar, mest være	Mix, mainly være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Very important	Very important	Very important	Very important	Very important	Somewhat important	A couple of times per week	Practially all the time	Practially all the time	A bit every day	Practially all the time	About the same	Heime	Krokkis	Nei	4	4	4	2	4	5	2	2	2	2	2	4	4	3	5	3		2	4
88	04.02.2020 12:49	10772104980	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Male	Alversund	Central	2-5 years ago	A couple of times a month	A couple of times a month	Bergen	Bergen	Bergensk	Vet ikke	Vocational training	Vocational training and other	Mixed	blandet	Don't know	vet  ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	Mix, mainly det	Vekslar, mest det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not at all important	Somewhat important	Somewhat important	Somewhat important	Not that important	Somewhat important	Very important	A couple of times per week	A bit every day	A bit every day	A bit every day	A lot every day	No	Bergen	Bergensar	(Bergensar)	3	2	4	1	2	4	1	1	4	2	3	4	2	2	1	2	1	1	2
90	04.02.2020 12:54	11321035243	234901686	04.02.2020 11:32	Complete	Complete	Lindås	General	Female	Seim	Peripheral	My whole life	A couple of times a month	A couple of times a month	Hordaland except Bergen	Hordaland except Bergen	Blanding av striladialekt og bergensdialekt	kommer an på hvem han snakker med. stril eller bergen	Vocational training	Vocational training and other	I talk Stril with those at home, and sometimes Bergen with friends	snakker stril med de hjemme, og av og til bergens med venner	Stril	stril	Vekslar	Mix	solen	Solen	Mix, jenten og jento	Vekslar, jenten og jento	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Somewhat important	Very important	Somewhat important	Not that important	Very important	Not at all important	Little or never	A lot every day	Little or never	Little or never	Practially all the time	Yes	Lindås, like utanfor Bergen	Både bergensar og stril	Nei, ikkje i det heile tatt	2	5			5	3	2	4	2	4	3		2		4	1		2	
96	04.02.2020 11:50	10252103762	216729719	02.10.2018 13:05	Complete	Complete	Lindås	General	Male	Knarvik	Central	5-10 years ago	Less than once a month	Less than once a month	Bergen	Bergen		lmfao han e død	Vocational training	Vocational training and other	Norwegian	norsk	Old Norwegian	gammel norsk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not at all important	Not at all important	Not at all important	Not at all important	Not at all important	Very important	Very important	Little or never	Little or never	Practially all the time	Practially all the time	Practially all the time	About the same	Bergen	<Namn>	Eg bryr meg ikkje, eg veit ikkje kva bergensar er		4		1	5	1	2		2		4	3	5	2	1	2		2	
98	04.02.2020 11:56	10772125185	216331141	03.06.2019 09:51	Complete	Complete	Lindås	General	Male	Knarvik	Central	Before school	A couple of times a month	About once a week	Local or neighboring municipality	Some other place in Norway	Bergen	bergen	General studies	General studies	Bergen	bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Very important	Little or never	A lot every day	A lot every day	Little or never	A bit every day	About the same	Bergen	Bergensar	(Bergensar)	2	2	1	2	3	1	1	4	2	2	2	5	3	2	4	2		1	3
99	04.02.2020 11:46	10772108007	216729719	03.06.2019 09:35	Complete	Complete	Lindås	General	Male	Sandviken in Bergen	<Bergen>	2-5 years ago	Almost every day	Almost every day	Bergen	Local or neighboring municipality	Blanding	blanding	Vocational training	Vocational training and other	Mix	blanding	Don't know	vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not at all important	Not at all important	Not that important	Somewhat important	Not at all important	Very important	Not at all important	A couple of times per week	Practially all the time	Practially all the time	Practially all the time	Practially all the time	No	Bergen	Bergensar	(Bergensar)	2	1	2	1	1	1	1	1	1	4	1	1	1	1	1	1		1	5
100	04.02.2020 11:51	11321035964	234901686	04.02.2020 11:35	Complete	Complete	Lindås	General	Female	Alversund	Central	My whole life	Less than once a month	About once a week	In another country	In another country	polsk	polsk	TAF	Vocational training and other	Don't know	vet ikke	Don't know	vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not that important	Very important	Somewhat important	Not at all important	Very important	Not at all important	Little or never	A lot every day	A lot every day	A bit every day	Practially all the time	About the same	Lindås, like utanfor Bergen	Polsk	Eg er polsk		4		3	3	3	2	1	2		2	2	3	2	4	1		2	3
102	04.02.2020 11:41	10772120336	216331141	03.06.2019 09:47	Complete	Complete	Lindås	General	Female	Isdalstø	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality			General studies	General studies	Bergen	bergensk	Bergen and a bit Stril	bergensk og litt stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not at all important	Very important	Somewhat important	Not at all important	Somewhat important	Not at all important	A bit every day	A lot every day	A lot every day	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	1	4	1	1	5	4	1	1	2	2	2	4	1	4	4	1		4	5
103	04.02.2020 11:41	10772107363	216331141	03.06.2019 09:34	Complete	Complete	Lindås	General	Female	Leknes	Peripheral	2-5 years ago	A couple of times a month	A couple of times a month	Local or neighboring municipality	In another country	Bergensk	Svorsk	TAF	Vocational training and other	Bergen with rolling r	Bergensk med rulle r	Bergen	Bergensk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not at all important	Very important	Somewhat important	Not at all important	Very important	Not that important	Little or never	A bit every day	A lot every day	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	2	2	2	1	2	4	1	1	1	2	1	2	3	2	3	1		2	3
104	04.02.2020 11:46	11321169387	234901686	04.02.2020 12:40	Complete	Complete	Lindås	General	Female	Alversund	Central	Before school	A couple of times a month	A couple of times a month	Bergen	Local or neighboring municipality	Bergen	Stril	General studies	General studies	Mix of Bergen and Stril	blanding av bergensk og stril	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not at all important	Not that important	Somewhat important	Somewhat important	Not at all important	Very important	Not that important	A couple of times per week	A lot every day	A bit every day	Little or never	A bit every day	About the same	Lindås, like utanfor Bergen	Bergensar	(Bergensar)	4	4	4	1	4	4	2	2	1	4	2	3	5	3	4	1		2	3
105	04.02.2020 11:40	10772113069	216331141	03.06.2019 09:40	Complete	Complete	Lindås	General	Female	Knarvik	Central	5-10 years ago	A couple of times a month	About once a week	In another country	Bergen	Bergensk	bergensk	No plans yet	No plans yet	Bergen	bergensk	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A bit every day	Practially all the time	A couple of times per week	Little or never	Practially all the time	About the same	Bergen	Bergensar	(Bergensar)	3	4	2	1	5	4	3	1	1	2	2	3	3	4	3	2	4	4	4
106	04.02.2020 11:48	11321030341	234901686	04.02.2020 11:32	Complete	Complete	Lindås	General	Male	Midtdelen	Peripheral	My whole life	Less than once a month	A couple of times a month	Hordaland except Bergen	Local or neighboring municipality	veit ikkje	veit ikkje	Information technology and media production	Vocational training and other	Nothing	ingenting	Nothing	ingenting	Være	være	Mix, mainly solen	Vekslar, mest solen	jenten	Jenten	Mix	Vekslar	Mix, mainly det	Vekslar, mest det	Mix	I mix, but Bokmål Norwegian the most	Bokmål	Not that important	Not at all important	Somewhat important	Not at all important	Not at all important	Not that important	Very important	Little or never	A bit every day	A lot every day	A bit every day	A couple of times per week	About the same	Rundt Bergen/Vestlandet	Ingen preferanse	Nei, ikkje i det heile tatt	4	5	4	2	5	3	2	5		4	3		4		3	1			
107	04.02.2020 11:47	11321171503	234901686	04.02.2020 12:41	Complete	Complete	Lindås	General	Male	Isdalstø	Central	5-10 years ago	A couple of times a month	About once a week	In another country	In another country			TAF	Vocational training and other	West Norwegian	vestlandsk	Don't know	vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not at all important	Somewhat important	Not that important	Not at all important	Not at all important	Somewhat important	Little or never	Little or never	Practially all the time	A bit every day	A couple of times per week	No	Lindås	Stril	Nei, ikkje i det heile tatt		4		2	4	4	3	3	2		2	2	4		4	2		2	2
111	04.02.2020 11:42	10772122117	216331141	03.06.2019 09:48	Complete	Complete	Lindås	General	Female	Leknes	Peripheral	2-5 years ago	A couple of times a month	Less than once a month	In another country	Local or neighboring municipality	thai	stril	Vocational training	Vocational training and other	Bergen	bergensar	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not that important	Very important	Somewhat important	Not at all important	Very important	Not that important	A couple of times per week	A bit every day	A bit every day	Little or never	A lot every day	No	Bergen	Bergensar	(Bergensar)	2	2	3	1	4	4	1	1	1	1	1	3	1		3	1			
113	04.02.2020 11:42	10772105165	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Female	Knarvik	Central	My whole life	A couple of times a month	A couple of times a month	Bergen	Bergen	Bergenser	Bergenser	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not that important	Very important	Somewhat important	Not that important	Not that important	Not that important	Little or never	A bit every day	A bit every day	A couple of times per week	A lot every day	No	Bergen	Bergensar	(Bergensar)	2	4	1	3	4	3	3	1	2		4		4						4
114	04.02.2020 09:13	11321177893	234901686	04.02.2020 12:46	Complete	Complete	Lindås	General	Male	Alvermarka	Central	5-10 years ago	A couple of times a month	A couple of times a month	Some other place in Norway	Local or neighboring municipality	Haugesund	Bergen	Vocational training	Vocational training and other	Bergen/Haugesund	bergensk/haugesunsk	Stril	stril	Være	være	solen	Solen	jento	Jento	me	Me	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Not that important	Somewhat important	Somewhat important	Very important	A couple of times per week	A lot every day	Practially all the time	A couple of times per week	A bit every day	Yes	Haugesund	Bergensar	(Bergensar)	3	2	4	3	3	5	3		2	2	4	4	4		3			1	
115	04.02.2020 08:56	10235179385	216729719	24.09.2018 15:13	Complete	Complete	Lindås	General	Female	Leknes	Peripheral	My whole life	Less than once a month	Less than once a month	Bergen	Local or neighboring municipality	stril	bergensk	Vocational training	Vocational training and other	Stril and Bergen	stril og bergensk	Old Stril	gamal stril	Vekslar, mest væra	Mix, mainly væra	sola	sola	jento	Jento	me	Me	da	Da	Mix	I mix, write both of them	Bokmål	Not that important	Very important	Somewhat important	Not at all important	Not at all important	Somewhat important	Not at all important	Little or never	A bit every day	A couple of times per week	Little or never	A lot every day	About the same	Bergen	Bergensar	(Bergensar)	4	3	4	2	1	5	1	5	4	1	4	4	3		1		1	4	
119	04.02.2020 08:52	10772104458	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Female	Alversund	Central	My whole life	About once a week	About once a week	Local or neighboring municipality	Some other place in Norway	Bergensk	Voss	Vocational training	Vocational training and other	Bergen	bergensk	I don't know	jeg vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Not at all important	A couple of times per week	A bit every day	A couple of times per week	Little or never	A lot every day	About the same	Bergen	Bergensar	(Bergensar)	4	3	4	2	4	5	2	2	3	2	3	3	4	3	1	2			4
